title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
toy story 3,BV,415000000.0,652000000.0,2010,tt0435761,toy story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218
inception,WB,292600000.0,535700000.0,2010,tt1375666,inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066
shrek forever after,P/DW,238700000.0,513900000.0,2010,tt0892791,shrek forever after,2010,93.0,"Adventure,Animation,Comedy",6.3,167532
the twilight saga: eclipse,Sum.,300500000.0,398000000.0,2010,tt1325004,the twilight saga: eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733
iron man 2,Par.,312400000.0,311500000.0,2010,tt1228705,iron man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690
tangled,BV,200800000.0,391000000.0,2010,tt0398286,tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
despicable me,Uni.,251500000.0,291600000.0,2010,tt1323594,despicable me,2010,95.0,"Animation,Comedy,Family",7.7,464511
how to train your dragon,P/DW,217600000.0,277300000.0,2010,tt0892769,how to train your dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299
the chronicles of narnia: the voyage of the dawn treader,Fox,104400000.0,311300000.0,2010,tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663
the king's speech,Wein.,135500000.0,275400000.0,2010,tt1504320,the king's speech,2010,118.0,"Biography,Drama,History",8.0,593629
the karate kid,Sony,176600000.0,182500000.0,2010,tt1155076,the karate kid,2010,140.0,"Action,Drama,Family",6.2,146401
prince of persia: the sands of time,BV,90800000.0,245600000.0,2010,tt0473075,prince of persia: the sands of time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975
black swan,FoxS,107000000.0,222400000.0,2010,tt0947798,black swan,2010,108.0,"Drama,Thriller",8.0,648854
megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,megamind,2010,95.0,"Action,Animation,Comedy",7.3,207488
robin hood,Uni.,105300000.0,216400000.0,2010,tt0955308,robin hood,2010,140.0,"Action,Adventure,Drama",6.6,239480
robin hood,Uni.,105300000.0,216400000.0,2010,tt2363363,robin hood,2013,92.0,"Action,Drama",6.3,78
robin hood,Uni.,105300000.0,216400000.0,2010,tt4532826,robin hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588
robin hood,Uni.,105300000.0,216400000.0,2010,tt6858500,robin hood,2018,87.0,Unknown,7.6,5
the last airbender,Par.,131800000.0,187900000.0,2010,tt0938283,the last airbender,2010,103.0,"Action,Adventure,Family",4.1,137734
little fockers,Uni.,148400000.0,162200000.0,2010,tt0970866,little fockers,2010,98.0,"Comedy,Romance",5.5,99222
resident evil: afterlife,SGem,60100000.0,240100000.0,2010,tt1220634,resident evil: afterlife,2010,96.0,"Action,Adventure,Horror",5.9,153270
shutter island,Par.,128000000.0,166800000.0,2010,tt1130884,shutter island,2010,138.0,"Mystery,Thriller",8.1,1005960
salt,Sony,118300000.0,175200000.0,2010,tt0944835,salt,2010,100.0,"Action,Mystery,Thriller",6.4,277204
sex and the city 2,WB (NL),95300000.0,193000000.0,2010,tt1261945,sex and the city 2,2010,146.0,"Comedy,Drama,Romance",4.4,69199
the tourist,Sony,67600000.0,210700000.0,2010,tt1243957,the tourist,2010,103.0,"Action,Adventure,Thriller",6.0,206714
the expendables,LGF,103100000.0,171400000.0,2010,tt1320253,the expendables,2010,103.0,"Action,Adventure,Thriller",6.5,307897
grown ups,Sony,162000000.0,109400000.0,2010,tt1375670,grown ups,2010,102.0,Comedy,6.0,210377
true grit,Par.,171200000.0,81000000.0,2010,tt1403865,true grit,2010,110.0,"Adventure,Drama,Western",7.6,284034
gulliver's travels,Fox,42800000.0,194600000.0,2010,tt1320261,gulliver's travels,2010,85.0,"Adventure,Comedy,Family",4.9,61178
percy jackson & the olympians: the lightning thief,Fox,88800000.0,137700000.0,2010,tt0814255,percy jackson & the olympians: the lightning thief,2010,118.0,"Adventure,Family,Fantasy",5.9,165108
the social network,Sony,97000000.0,128000000.0,2010,tt1285016,the social network,2010,120.0,"Biography,Drama",7.7,568578
valentine's day,WB (NL),110500000.0,106000000.0,2010,tt0817230,valentine's day,2010,125.0,"Comedy,Romance",5.7,107171
the sorcerer's apprentice,BV,63200000.0,152100000.0,2010,tt0963966,the sorcerer's apprentice,2010,109.0,"Action,Adventure,Family",6.1,143862
